"Story","Title","Result","Date","Stability","Duration (s)"
"Products test with tags","This test is creating a new products and verify it is created","SUCCESS","2020-05-25T22:12:23.095+01:00[Europe/London]","0.0","7.04"
"Products test with tags","Getting the information of the product created by ID","SUCCESS","2020-05-25T22:12:31.062+01:00[Europe/London]","0.0","7.91"
"Products test with tags","Getting the information of the All products","SUCCESS","2020-05-25T22:12:38.978+01:00[Europe/London]","0.0","0.53"
"Products test with tags","Getting the information of the All products","SUCCESS","2020-05-25T22:12:38.978+01:00[Europe/London]","0.0","0.53"
"Products test with tags","This test will update the product information and verify the updated information","SUCCESS","2020-05-25T22:12:39.516+01:00[Europe/London]","0.0","0.81"
"Products test with tags","Deleting the Product information with productId : {0} ","SUCCESS","2020-05-25T22:12:40.329+01:00[Europe/London]","0.0","0.55"
