"Story","Title","Result","Date","Stability","Duration (s)"
"Products test with tags","Getting the information of the product created by ID","SUCCESS","2020-05-25T22:12:31.062+01:00[Europe/London]","0.0","7.91"
"Stores test with tags","Getting a created Store","SUCCESS","2020-05-25T22:12:45.076+01:00[Europe/London]","0.0","0.37"
