"Story","Title","Result","Date","Stability","Duration (s)"
"Products test with tags","Getting the information of the All products","SUCCESS","2020-05-25T22:12:38.978+01:00[Europe/London]","0.0","0.53"
"Products test with tags","Getting the information of the All products","SUCCESS","2020-05-25T22:12:38.978+01:00[Europe/London]","0.0","0.53"
"Stores test with tags","Getting the all store","SUCCESS","2020-05-25T22:12:45.448+01:00[Europe/London]","0.0","0.32"
"Stores test with tags","Getting the all store","SUCCESS","2020-05-25T22:12:45.448+01:00[Europe/London]","0.0","0.32"
